division_gid,motion_gid,chamber,__index_level_0__
uk.org.publicwhip/debate/2019-10-31a.592.9,uk.org.publicwhip/debate/2019-10-31a.592.6.3,house-of-commons,2
uk.org.publicwhip/debate/2019-12-20a.216.3,uk.org.publicwhip/debate/2019-12-20a.146.3.1,house-of-commons,77
uk.org.publicwhip/debate/2019-12-20a.222.0,uk.org.publicwhip/debate/2019-12-20a.221.1.1,house-of-commons,78
uk.org.publicwhip/debate/2020-01-07b.338.4,uk.org.publicwhip/debate/2020-01-07b.338.3.1,house-of-commons,3
uk.org.publicwhip/debate/2020-01-07b.343.3,uk.org.publicwhip/debate/2020-01-07b.343.2.1,house-of-commons,4
uk.org.publicwhip/debate/2020-01-07b.348.3,uk.org.publicwhip/debate/2020-01-07b.348.2.1,house-of-commons,5
uk.org.publicwhip/debate/2020-01-08d.440.3,uk.org.publicwhip/debate/2020-01-08d.440.2.1,house-of-commons,20
uk.org.publicwhip/debate/2020-01-08d.445.3,uk.org.publicwhip/debate/2020-01-08d.445.2.1,house-of-commons,21
uk.org.publicwhip/debate/2020-01-08d.451.0,uk.org.publicwhip/debate/2020-01-08d.450.2.1,house-of-commons,22
uk.org.publicwhip/debate/2020-01-08d.456.3,uk.org.publicwhip/debate/2020-01-08d.456.2.1,house-of-commons,23
uk.org.publicwhip/debate/2020-01-08d.532.3,uk.org.publicwhip/debate/2020-01-08d.492.0.1,house-of-commons,19
uk.org.publicwhip/debate/2020-01-08d.537.3,uk.org.publicwhip/debate/2020-01-08d.537.2.1,house-of-commons,24
uk.org.publicwhip/debate/2020-01-08d.542.3,uk.org.publicwhip/debate/2020-01-08d.542.2.1,house-of-commons,25
uk.org.publicwhip/debate/2020-01-09c.712.0,uk.org.publicwhip/debate/2020-01-09c.650.8.1,house-of-commons,86
uk.org.publicwhip/debate/2020-01-09c.715.0,uk.org.publicwhip/debate/2020-01-09c.712.1.3,house-of-commons,85
uk.org.publicwhip/debate/2020-01-16f.1261.0,uk.org.publicwhip/debate/2020-01-16f.1180.4.1,house-of-commons,49
uk.org.publicwhip/debate/2020-01-20e.125.0,uk.org.publicwhip/debate/2020-01-20e.125.1.3,house-of-commons,175
uk.org.publicwhip/debate/2020-01-20e.130.0,uk.org.publicwhip/debate/2020-01-20e.125.1.5,house-of-commons,172
uk.org.publicwhip/debate/2020-01-20e.133.0,uk.org.publicwhip/debate/2020-01-20e.130.1.5,house-of-commons,173
uk.org.publicwhip/debate/2020-01-20e.136.0,uk.org.publicwhip/debate/2020-01-20e.136.1.3,house-of-commons,174
uk.org.publicwhip/debate/2020-01-22d.333.0,uk.org.publicwhip/debate/2020-01-22d.332.2.5,house-of-commons,139
uk.org.publicwhip/debate/2020-01-22d.337.3,uk.org.publicwhip/debate/2020-01-22d.337.2.1,house-of-commons,140
uk.org.publicwhip/debate/2020-01-22d.342.0,uk.org.publicwhip/debate/2020-01-22d.337.4.4,house-of-commons,141
uk.org.publicwhip/debate/2020-01-22d.346.3,uk.org.publicwhip/debate/2020-01-22d.346.2.1,house-of-commons,142
uk.org.publicwhip/debate/2020-01-22d.351.3,uk.org.publicwhip/debate/2020-01-22d.351.2.1,house-of-commons,143
uk.org.publicwhip/debate/2020-01-29d.839.0,uk.org.publicwhip/debate/2020-01-29d.837.0.12,house-of-commons,166
uk.org.publicwhip/debate/2020-01-29d.890.1,uk.org.publicwhip/debate/2020-01-29d.890.0.4,house-of-commons,167
uk.org.publicwhip/debate/2020-02-03d.137.0,uk.org.publicwhip/debate/2020-02-03d.70.3.1,house-of-commons,79
uk.org.publicwhip/debate/2020-02-04e.262.0,uk.org.publicwhip/debate/2020-02-04e.212.5.1,house-of-commons,176
uk.org.publicwhip/debate/2020-02-04e.267.3,uk.org.publicwhip/debate/2020-02-04e.267.1.5,house-of-commons,178
uk.org.publicwhip/debate/2020-02-04e.271.3,uk.org.publicwhip/debate/2020-02-04e.212.6.27,house-of-commons,177
uk.org.publicwhip/debate/2020-02-05b.371.0,uk.org.publicwhip/debate/2020-02-05b.368.0.22,house-of-commons,109
uk.org.publicwhip/debate/2020-02-05b.422.0,uk.org.publicwhip/debate/2020-02-05b.377.2.1,house-of-commons,110
uk.org.publicwhip/debate/2020-02-11e.823.0,uk.org.publicwhip/debate/2020-02-11e.771.4.1,house-of-commons,150
uk.org.publicwhip/debate/2020-02-12c.859.1,uk.org.publicwhip/debate/2020-02-12c.856.1.1,house-of-commons,31
uk.org.publicwhip/debate/2020-02-25d.237.2,uk.org.publicwhip/debate/2020-02-25d.185.2.1,house-of-commons,116
uk.org.publicwhip/debate/2020-02-25d.286.3,uk.org.publicwhip/debate/2020-02-25d.286.2.5,house-of-commons,117
uk.org.publicwhip/debate/2020-03-04d.897.0,uk.org.publicwhip/debate/2020-03-04d.896.1.11,house-of-commons,32
uk.org.publicwhip/debate/2020-03-04d.948.0,uk.org.publicwhip/debate/2020-03-04d.947.0.4,house-of-commons,33
uk.org.publicwhip/debate/2020-03-10a.205.1,uk.org.publicwhip/debate/2020-03-10a.168.4.1,house-of-commons,64
